domain,legitimacy_score,total_occurrences,in_spam,in_ham,sources,category
monkey.org,90,3,0,3,"from, urls",legitimate
advogato.org,90,3,0,3,urls,legitimate
stanfordalumni.org,90,4,0,4,from,legitimate
stsci.edu,90,1,0,1,urls,legitimate
census.gov,90,2,0,2,urls,legitimate
documentengineering.org,90,1,0,1,urls,legitimate
harvard.edu,90,2,0,2,"from, urls",legitimate
phorum.org,90,1,0,1,urls,legitimate
wknc.org,90,1,0,1,urls,legitimate
bu.edu,90,1,0,1,urls,legitimate
legrandsaut.org,90,2,0,2,urls,legitimate
mit.edu,90,27,0,27,"from, urls",legitimate
mpr.org,90,1,0,1,urls,legitimate
nettime.org,90,2,0,2,urls,legitimate
spineless.org,90,1,0,1,urls,legitimate
hrw.org,90,1,0,1,urls,legitimate
rice.edu,90,5,0,5,from,legitimate
fnal.gov,90,1,0,1,urls,legitimate
talk.org,90,3,0,3,urls,legitimate
neudist.org,90,2,0,2,urls,legitimate
ucr.edu,90,3,0,3,"from, urls",legitimate
constitutioncenter.org,90,1,0,1,urls,legitimate
ibiblio.org,90,2,0,2,urls,legitimate
indymedia.org,90,1,0,1,urls,legitimate
uah.edu,90,4,0,4,"from, urls",legitimate
nasa.gov,90,1,0,1,urls,legitimate
peek-a-booty.org,90,1,0,1,urls,legitimate
ktru.org,90,1,0,1,urls,legitimate
ozyandmillie.org,90,1,0,1,urls,legitimate
agu.org,90,1,0,1,urls,legitimate
ornl.gov,90,2,0,2,urls,legitimate
midgard-project.org,90,1,0,1,urls,legitimate
tigris.org,90,1,0,1,urls,legitimate
opencms.org,90,1,0,1,urls,legitimate
jwz.org,90,1,0,1,urls,legitimate
nolug.org,90,1,0,1,,legitimate
viking-z.org,90,2,0,2,urls,legitimate
quitpalestine.org,90,1,0,1,urls,legitimate
ben4prez.org,90,1,0,1,urls,legitimate
birches.org,90,1,0,1,from,legitimate
utk.edu,90,1,0,1,urls,legitimate
greenberg.org,90,1,0,1,,legitimate
pittstate.edu,90,4,0,4,"from, urls",legitimate
fcc.gov,90,1,0,1,urls,legitimate
frommholz.org,90,2,0,2,"from, urls",legitimate
whatexit.org,90,4,0,4,urls,legitimate
ttu.edu,90,2,0,2,from,legitimate
hacksaw.org,90,4,0,4,urls,legitimate
permflux.org,90,1,0,1,from,legitimate
gnupg.org,90,28,0,28,urls,legitimate
darktech.org,90,1,0,1,from,legitimate
gtk.org,90,1,0,1,urls,legitimate
stanford.edu,90,2,0,2,urls,legitimate
pgpi.org,90,1,0,1,urls,legitimate
cabeen.org,90,2,0,2,,legitimate
blu.org,90,1,0,1,from,legitimate
apestaart.org,90,8,0,8,urls,legitimate
rulez.org,90,1,0,1,,legitimate
jabber.org,90,2,0,2,from,legitimate
rpm.org,90,1,0,1,urls,legitimate
unh.edu,90,1,0,1,"from, urls",legitimate
bondedsender.org,90,1,0,1,urls,legitimate
sial.org,90,1,0,1,"from, urls",legitimate
lehigh.edu,90,2,0,2,from,legitimate
arsecandle.org,90,4,0,4,from,legitimate
cdt.org,90,1,0,1,urls,legitimate
cdtmail.org,90,2,0,2,from,legitimate
vamos-wentworth.org,90,1,0,1,from,legitimate
lerctr.org,90,6,0,6,"from, urls",legitimate
dickinson.edu,90,2,0,2,from,legitimate
yale.edu,90,3,0,3,"from, urls",legitimate
wayne.edu,90,8,0,8,from,legitimate
stearns.org,90,1,0,1,urls,legitimate
ida.org,90,1,0,1,from,legitimate
openbeatbox.org,90,5,0,5,,legitimate
apache-ssl.org,90,1,0,1,urls,legitimate
gmane.org,90,1,0,1,urls,legitimate
bubbanfriends.org,90,8,0,8,from,legitimate
milter.org,90,1,0,1,urls,legitimate
khera.org,90,1,0,1,urls,legitimate
brizzie.org,90,1,0,1,from,legitimate
rutgers.edu,90,2,0,2,"from, urls",legitimate
cyborgnation.org,90,2,0,2,from,legitimate
ieee.org,90,2,0,2,from,legitimate
pffcu.org,90,2,0,2,from,legitimate
yi.org,90,3,0,3,from,legitimate
immunix.org,90,2,0,2,urls,legitimate
ifokr.org,90,1,0,1,from,legitimate
ogi.edu,90,1,0,1,urls,legitimate
alberg30.org,90,1,0,1,,legitimate
netwindows.org,90,1,0,1,,legitimate
python.org,90,27,0,27,"from, urls",legitimate
svensson.org,90,1,0,1,from,legitimate
woozle.org,90,7,0,7,"from, urls",legitimate
oscom.org,90,2,0,2,urls,legitimate
yetanother.org,90,3,0,3,urls,legitimate
cpan.org,90,1,0,1,urls,legitimate
dyndns.org,90,2,0,2,urls,legitimate
pm.org,90,4,0,4,urls,legitimate
yapc.org,90,1,0,1,urls,legitimate
perlfoundation.org,90,2,0,2,urls,legitimate
archive.org,90,2,0,2,urls,legitimate
msichicago.org,90,1,0,1,urls,legitimate
pitt.edu,90,2,0,2,urls,legitimate
warchalking.org,90,1,0,1,urls,legitimate
resource.org,90,2,0,2,urls,legitimate
peerfear.org,90,1,0,1,urls,legitimate
movabletype.org,90,3,0,3,urls,legitimate
mp3isnotacrime.org,90,1,0,1,urls,legitimate
opml.org,90,1,0,1,urls,legitimate
eff.org,90,4,0,4,"from, urls",legitimate
brainslug.org,90,1,0,1,urls,legitimate
antipope.org,90,2,0,2,urls,legitimate
viridiandesign.org,90,1,0,1,urls,legitimate
jerf.org,90,1,0,1,urls,legitimate
effaustin.org,90,1,0,1,urls,legitimate
vascularweb.org,90,1,0,1,urls,legitimate
kahle.org,90,1,0,1,urls,legitimate
loyalty.org,90,2,0,2,urls,legitimate
house.gov,90,1,0,1,urls,legitimate
mozillanews.org,90,1,0,1,urls,legitimate
mozillazine.org,90,8,0,8,urls,legitimate
parentstv.org,90,1,0,1,urls,legitimate
cantoni.org,90,1,0,1,urls,legitimate
sfwa.org,90,1,0,1,urls,legitimate
themorningnews.org,90,2,0,2,urls,legitimate
diveintopython.org,90,1,0,1,urls,legitimate
dollarshort.org,90,1,0,1,urls,legitimate
blogcritics.org,90,1,0,1,urls,legitimate
clarionsouth.org,90,1,0,1,urls,legitimate
msri.org,90,1,0,1,urls,legitimate
dismuke.org,90,1,0,1,urls,legitimate
bitworking.org,90,2,0,2,urls,legitimate
octapod.org,90,1,0,1,urls,legitimate
uni.edu,90,2,0,2,urls,legitimate
agiledata.org,90,1,0,1,urls,legitimate
beimler.org,90,2,0,2,urls,legitimate
diveintoaccessibility.org,90,2,0,2,urls,legitimate
joeclark.org,90,1,0,1,urls,legitimate
eff-austin.org,90,1,0,1,urls,legitimate
energy.gov,90,1,0,1,urls,legitimate
objectif.org,90,1,0,1,urls,legitimate
annoyances.org,90,1,0,1,urls,legitimate
openoffice.org,90,1,0,1,urls,legitimate
mozilla.org,90,2,0,2,urls,legitimate
sillydog.org,90,1,0,1,urls,legitimate
marketplace.org,90,1,0,1,urls,legitimate
henrylim.org,90,1,0,1,urls,legitimate
mobilix.org,90,1,0,1,urls,legitimate
ufoot.org,90,1,0,1,urls,legitimate
linmodems.org,90,1,0,1,urls,legitimate
vxtech.org,90,1,0,1,urls,legitimate
dvpc.org,90,1,0,1,urls,legitimate
sic.org,90,4,0,4,urls,legitimate
jv16.org,90,1,0,1,urls,legitimate
siggraph.org,90,1,0,1,urls,legitimate
w3c.org,90,1,0,1,urls,legitimate
wimbledon.org,90,1,0,1,urls,legitimate
oregonstate.edu,90,1,0,1,urls,legitimate
defcon.org,90,1,0,1,urls,legitimate
bib-arch.org,90,1,0,1,urls,legitimate
archaeologychannel.org,90,1,0,1,urls,legitimate
neh.gov,90,1,0,1,urls,legitimate
ukans.edu,90,1,0,1,urls,legitimate
randi.org,90,1,0,1,urls,legitimate
uchicago.edu,90,1,0,1,urls,legitimate
realchangenews.org,90,1,0,1,urls,legitimate
ojr.org,90,1,0,1,urls,legitimate
umn.edu,90,2,0,2,urls,legitimate
icbe.org,90,1,0,1,urls,legitimate
cert.org,90,1,0,1,"from, urls",legitimate
lp.org,90,1,0,1,"from, urls",legitimate
isc.org,90,1,0,1,"from, urls",legitimate
squeak.org,90,1,0,1,urls,legitimate
candyusa.org,90,1,0,1,urls,legitimate
sil.org,90,1,0,1,urls,legitimate
squeakfoundation.org,90,1,0,1,urls,legitimate
linguistlist.org,90,1,0,1,,legitimate
worldwidewords.org,90,1,0,1,urls,legitimate
uiuc.edu,90,1,0,1,urls,legitimate
iastate.edu,90,1,0,1,urls,legitimate
tigerbunny.org,90,1,0,1,urls,legitimate
agirlinlove.org,90,1,0,1,urls,legitimate
wanderlost.org,90,1,0,1,urls,legitimate
mypencil.org,90,1,0,1,urls,legitimate
cubanlinks.org,90,1,0,1,urls,legitimate
goop.org,90,1,0,1,urls,legitimate
englishfirst.org,90,1,0,1,urls,legitimate
crankreport.org,90,1,0,1,urls,legitimate
xastanford.org,90,1,0,1,urls,legitimate
redshifter.org,90,1,0,1,urls,legitimate
gringa.org,90,1,0,1,urls,legitimate
dopeshow.org,90,1,0,1,urls,legitimate
chaordicedge.org,90,1,0,1,urls,legitimate
machination.org,90,1,0,1,urls,legitimate
codefu.org,90,1,0,1,urls,legitimate
effbot.org,90,1,0,1,urls,legitimate
gontier.org,90,1,0,1,urls,legitimate
capricious.org,90,1,0,1,urls,legitimate
scriptocentris.org,90,1,0,1,urls,legitimate
sector404.org,90,1,0,1,urls,legitimate
pinkstar.org,90,1,0,1,urls,legitimate
playapixie.org,90,1,0,1,urls,legitimate
lyndy.org,90,1,0,1,urls,legitimate
ucsb.edu,90,1,0,1,urls,legitimate
cooper.edu,90,1,0,1,urls,legitimate
billegible.org,90,1,0,1,urls,legitimate
slavin.org,90,1,0,1,urls,legitimate
bluetonic.org,90,1,0,1,urls,legitimate
bunda.org,90,1,0,1,urls,legitimate
driko.org,90,1,0,1,urls,legitimate
revolutionnine.org,90,1,0,1,urls,legitimate
waterlilies.org,90,1,0,1,urls,legitimate
lomara.org,90,1,0,1,urls,legitimate
brokensky.org,90,1,0,1,urls,legitimate
jamaat-e-islami.org,90,1,0,1,urls,legitimate
chezlubacov.org,90,1,0,1,urls,legitimate
mysticcowboy.org,90,1,0,1,urls,legitimate
serialdeviant.org,90,1,0,1,urls,legitimate
hopechapel.org,90,1,0,1,urls,legitimate
antipodean.org,90,1,0,1,urls,legitimate
laughingmeme.org,90,1,0,1,urls,legitimate
le-monade.org,90,1,0,1,urls,legitimate
frohme.org,90,1,0,1,urls,legitimate
concreteeye.org,90,1,0,1,urls,legitimate
i330.org,90,1,0,1,urls,legitimate
iknowiknow.org,90,1,0,1,urls,legitimate
heliopod.org,90,1,0,1,urls,legitimate
inkslinger.org,90,1,0,1,urls,legitimate
diaweblog.org,90,1,0,1,urls,legitimate
feudalspirit.org,90,1,0,1,urls,legitimate
8128.org,90,1,0,1,urls,legitimate
johndavies.org,90,1,0,1,urls,legitimate
flexistentialist.org,90,1,0,1,urls,legitimate
digital-ocean.org,90,1,0,1,urls,legitimate
scattered.org,90,1,0,1,urls,legitimate
hostileterritory.org,90,1,0,1,urls,legitimate
planxi-mihi.org,90,1,0,1,urls,legitimate
rochester.edu,90,1,0,1,urls,legitimate
samambaias.org,90,1,0,1,urls,legitimate
masukomi.org,90,1,0,1,urls,legitimate
foldedspace.org,90,1,0,1,urls,legitimate
truegeek.org,90,1,0,1,urls,legitimate
blankspot.org,90,1,0,1,urls,legitimate
librariana.org,90,1,0,1,urls,legitimate
nilesh.org,90,1,0,1,urls,legitimate
neuroprosthesis.org,90,1,0,1,urls,legitimate
skittish.org,90,1,0,1,urls,legitimate
thereisnoarizona.org,90,1,0,1,urls,legitimate
angst-identprone.org,90,1,0,1,urls,legitimate
episcopalian.org,90,1,0,1,urls,legitimate
grumblemutterspit.org,90,1,0,1,urls,legitimate
trommetter.org,90,1,0,1,urls,legitimate
nwu.edu,90,1,0,1,urls,legitimate
miramis.org,90,1,0,1,urls,legitimate
simka.org,90,1,0,1,urls,legitimate
miladus.org,90,1,0,1,urls,legitimate
ehuna.org,90,1,0,1,urls,legitimate
amber.org,90,1,0,1,urls,legitimate
veryblack.org,90,1,0,1,urls,legitimate
spilth.org,90,1,0,1,urls,legitimate
agonist.org,90,1,0,1,urls,legitimate
orst.edu,90,1,0,1,urls,legitimate
cornered.org,90,1,0,1,urls,legitimate
pinguino.org,90,1,0,1,urls,legitimate
chanpon.org,90,1,0,1,urls,legitimate
mad-world.org,90,1,0,1,urls,legitimate
interglobal.org,90,1,0,1,urls,legitimate
nosila.org,90,1,0,1,urls,legitimate
stcloudstate.edu,90,1,0,1,urls,legitimate
kicks-ass.org,90,1,0,1,urls,legitimate
doublereflection.org,90,1,0,1,urls,legitimate
fortboise.org,90,1,0,1,urls,legitimate
star-shaped.org,90,1,0,1,urls,legitimate
kosub.org,90,1,0,1,urls,legitimate
pintglass.org,90,1,0,1,urls,legitimate
blogdom.org,90,1,0,1,urls,legitimate
coralreefalliance.org,90,1,0,1,urls,legitimate
evilboy.org,90,1,0,1,urls,legitimate
idiolectal.org,90,1,0,1,urls,legitimate
undisturbed.org,90,1,0,1,urls,legitimate
viviculture.org,90,1,0,1,urls,legitimate
jobstarts.org,90,1,0,1,urls,legitimate
drive-thru.org,90,1,0,1,urls,legitimate
nathannewman.org,90,1,0,1,urls,legitimate
wintergale.org,90,1,0,1,urls,legitimate
nelie.org,90,1,0,1,urls,legitimate
silentreverie.org,90,1,0,1,urls,legitimate
techfluid.org,90,1,0,1,urls,legitimate
bordc.org,90,1,0,1,urls,legitimate
adermark.org,90,1,0,1,urls,legitimate
polished.org,90,1,0,1,urls,legitimate
irenicembers.org,90,1,0,1,urls,legitimate
978.org,90,1,0,1,urls,legitimate
digitalactionsproject.org,90,1,0,1,urls,legitimate
lplibrary.org,90,1,0,1,urls,legitimate
subtle.org,90,1,0,1,urls,legitimate
soliloquy.org,90,1,0,1,urls,legitimate
vieuxbandit.org,90,1,0,1,urls,legitimate
trmk.org,90,1,0,1,urls,legitimate
wbur.org,90,1,0,1,urls,legitimate
nonfiction.org,90,1,0,1,urls,legitimate
glittering.org,90,1,0,1,urls,legitimate
nocents.org,90,1,0,1,urls,legitimate
mattjacob.org,90,1,0,1,urls,legitimate
randomaccess.org,90,1,0,1,urls,legitimate
arwen.org,90,1,0,1,urls,legitimate
teleread.org,90,1,0,1,urls,legitimate
stunned.org,90,1,0,1,urls,legitimate
toomuchsexy.org,90,1,0,1,urls,legitimate
intensified.org,90,1,0,1,urls,legitimate
easterwood.org,90,1,0,1,urls,legitimate
marlboro.edu,90,1,0,1,urls,legitimate
timtate.org,90,1,0,1,urls,legitimate
mossland.org,90,1,0,1,urls,legitimate
sauna.org,90,1,0,1,urls,legitimate
ubiety.org,90,1,0,1,urls,legitimate
wpi.edu,90,1,0,1,urls,legitimate
tomhume.org,90,1,0,1,urls,legitimate
renata.org,90,1,0,1,urls,legitimate
surreally.org,90,1,0,1,urls,legitimate
greg.org,90,1,0,1,urls,legitimate
tripewriting.org,90,1,0,1,urls,legitimate
wwpp.org,90,1,0,1,urls,legitimate
milesofmules.org,90,1,0,1,urls,legitimate
krisalis.org,90,1,0,1,urls,legitimate
nastybastard.org,90,1,0,1,urls,legitimate
opencg.org,90,1,0,1,urls,legitimate
3e.org,90,1,0,1,urls,legitimate
gominosensei.org,90,1,0,1,urls,legitimate
viewfromabroad.org,90,1,0,1,urls,legitimate
ashersky.org,90,1,0,1,urls,legitimate
fai.org,90,1,0,1,urls,legitimate
suckahs.org,90,1,0,1,urls,legitimate
oceansky.org,90,1,0,1,urls,legitimate
dream-to-reality.org,90,1,0,1,urls,legitimate
deviance.org,90,1,0,1,urls,legitimate
onclave.org,90,1,0,1,urls,legitimate
fudged.org,90,1,0,1,urls,legitimate
smote.org,90,1,0,1,urls,legitimate
deanloh.org,90,1,0,1,urls,legitimate
deliriouscool.org,90,1,0,1,urls,legitimate
ct-cc.org,90,1,0,1,urls,legitimate
frenzied.org,90,1,0,1,urls,legitimate
stillpixels.org,90,1,0,1,urls,legitimate
u2wanderer.org,90,1,0,1,urls,legitimate
huzzay.org,90,1,0,1,urls,legitimate
glitterydust.org,90,1,0,1,urls,legitimate
hypercube.org,90,1,0,1,urls,legitimate
dartmouth.edu,90,1,0,1,urls,legitimate
cjbonline.org,90,1,0,1,urls,legitimate
megacity.org,90,1,0,1,urls,legitimate
iotoeuropa.org,90,1,0,1,urls,legitimate
cloggie.org,90,1,0,1,urls,legitimate
raleighnet.org,90,1,0,1,urls,legitimate
amestrinity.org,90,1,0,1,urls,legitimate
drupal.org,90,1,0,1,urls,legitimate
rayners.org,90,1,0,1,urls,legitimate
route15.org,90,1,0,1,urls,legitimate
santamaradona.org,90,1,0,1,urls,legitimate
inhale.org,90,1,0,1,urls,legitimate
impolite.org,90,1,0,1,urls,legitimate
nosuch.org,90,1,0,1,urls,legitimate
bluezfire.org,90,1,0,1,urls,legitimate
spiritualactivist.org,90,1,0,1,urls,legitimate
arlecchino.org,90,1,0,1,urls,legitimate
alternet.org,90,1,0,1,urls,legitimate
erunda.org,90,1,0,1,urls,legitimate
antville.org,90,1,0,1,urls,legitimate
ksds-fm.org,90,1,0,1,urls,legitimate
fivefootnine.org,90,1,0,1,urls,legitimate
ucsf.edu,90,1,0,1,urls,legitimate
angryelephant.org,90,1,0,1,urls,legitimate
asstr.org,90,1,0,1,urls,legitimate
mithology.org,90,1,0,1,urls,legitimate
stetson.edu,90,1,0,1,urls,legitimate
edtechdev.org,90,1,0,1,urls,legitimate
gravitylens.org,90,1,0,1,urls,legitimate
rediscovered.org,90,1,0,1,urls,legitimate
vbsoft.org,90,1,0,1,urls,legitimate
jaquay.org,90,1,0,1,urls,legitimate
eighty-seven.org,90,1,0,1,urls,legitimate
wissahickonjournal.org,90,1,0,1,urls,legitimate
affisch.org,90,1,0,1,urls,legitimate
diwaniya.org,90,1,0,1,urls,legitimate
faultline.org,90,1,0,1,urls,legitimate
somewherequiet.org,90,1,0,1,urls,legitimate
hn.org,90,1,0,1,urls,legitimate
squibnocket.org,90,1,0,1,urls,legitimate
rc6.org,90,1,0,1,urls,legitimate
similarselection.org,90,1,0,1,urls,legitimate
clothespin.org,90,1,0,1,urls,legitimate
championville.org,90,1,0,1,urls,legitimate
intrinziq.org,90,1,0,1,urls,legitimate
anize.org,90,1,0,1,urls,legitimate
publicfiction.org,90,1,0,1,urls,legitimate
gavroche.org,90,1,0,1,urls,legitimate
articulatebabble.org,90,1,0,1,urls,legitimate
incunabula.org,90,1,0,1,urls,legitimate
ravenfamily.org,90,1,0,1,urls,legitimate
makeitwork.org,90,1,0,1,urls,legitimate
sucs.org,90,1,0,1,urls,legitimate
hill-kleerup.org,90,1,0,1,urls,legitimate
serialpurrs.org,90,1,0,1,urls,legitimate
bobjohnson.org,90,1,0,1,urls,legitimate
photojunkie.org,90,1,0,1,urls,legitimate
giparty.org,90,1,0,1,urls,legitimate
ymsp.org,90,1,0,1,urls,legitimate
damselite.org,90,1,0,1,urls,legitimate
northfield.org,90,1,0,1,urls,legitimate
luvs.org,90,1,0,1,urls,legitimate
improbable.org,90,1,0,1,urls,legitimate
chasinghats.org,90,1,0,1,urls,legitimate
ihope.org,90,1,0,1,urls,legitimate
projectjanel.org,90,1,0,1,urls,legitimate
lollipop-star.org,90,1,0,1,urls,legitimate
10500bc.org,90,1,0,1,urls,legitimate
multipurposewoman.org,90,1,0,1,urls,legitimate
hunsinger.org,90,1,0,1,urls,legitimate
atu.edu,90,1,0,1,urls,legitimate
ofrenda.org,90,1,0,1,urls,legitimate
mumbling.org,90,1,0,1,urls,legitimate
greiff.org,90,1,0,1,urls,legitimate
chuckler.org,90,1,0,1,urls,legitimate
rabenclan.org,90,1,0,1,urls,legitimate
randyrathbun.org,90,1,0,1,urls,legitimate
epenthesis.org,90,1,0,1,urls,legitimate
moonfarmer.org,90,1,0,1,urls,legitimate
manur.org,90,1,0,1,urls,legitimate
cauce.org,90,1,0,1,"from, urls",legitimate
postgresql.org,90,2,0,2,,legitimate
openssl.org,90,1,0,1,urls,legitimate
ucdavis.edu,90,1,0,1,from,legitimate
unesco.org,90,1,0,1,urls,legitimate
lincproject.org,90,1,0,1,urls,legitimate
bytesforall.org,90,1,0,1,,legitimate
li.org,90,1,0,1,urls,legitimate
egovos.org,90,1,0,1,urls,legitimate
jcp.org,90,1,0,1,urls,legitimate
vandinter.org,90,1,0,1,,legitimate
robertreich.org,90,1,0,1,"from, urls",legitimate
aynrand.org,90,1,0,1,"from, urls",legitimate
list.org,90,1,0,1,urls,legitimate
geocrawler.com,80,206,19,187,urls,legitimate
xent.com,80,772,102,670,"from, urls",legitimate
slashnull.org,80,58,55,3,from,legitimate
usa.net,80,36,17,19,from,legitimate
bellsouth.net,80,14,3,11,from,legitimate
download.com,80,5,1,4,urls,legitimate
doubleclick.net,80,16,1,15,urls,legitimate
sri.com,80,4,1,3,from,legitimate
qksrv.net,80,17,4,13,urls,legitimate
virgin.net,80,4,1,3,from,legitimate
eircom.net,80,10,4,6,"from, urls",legitimate
prodigy.net,80,8,3,5,from,legitimate
akamai.net,80,9,3,6,urls,legitimate
ebay.com,80,7,2,5,"from, urls",legitimate
att.com,80,5,1,4,from,legitimate
msnbc.com,80,12,1,11,urls,legitimate
amazon.com,80,30,1,29,"from, urls",legitimate
hp.com,80,5,1,4,"from, urls",legitimate
comcast.net,80,48,1,47,"from, urls",legitimate
go.com,80,9,3,6,"from, urls",legitimate
canada.com,80,64,2,62,from,legitimate
partner2profit.com,80,11,2,9,urls,legitimate
gmx.net,80,14,3,11,from,legitimate
com.com,80,97,1,96,urls,legitimate
apple.com,80,7,2,5,urls,legitimate
msads.net,80,4,1,3,urls,legitimate
macromedia.com,80,3,1,2,urls,legitimate
example.com,80,1435,0,1435,"from, urls",legitimate
deepeddy.com,80,47,0,47,,legitimate
egroups.com,80,89,0,89,,legitimate
yahoogroups.com,80,89,0,89,,legitimate
cursor-system.com,80,3,0,3,from,legitimate
2ubh.com,80,27,0,27,from,legitimate
pcworld.com,80,6,0,6,urls,legitimate
roscom.com,80,1,0,1,from,legitimate
virtualcities.com,80,1,0,1,urls,legitimate
vircio.com,80,30,0,30,,legitimate
networksonline.com,80,1,0,1,from,legitimate
inphonic.com,80,111,0,111,urls,legitimate
paulgraham.com,80,2,0,2,urls,legitimate
perkel.com,80,6,0,6,from,legitimate
kluge.net,80,27,0,27,from,legitimate
bayarea.com,80,6,0,6,urls,legitimate
permafrost.net,80,32,0,32,from,legitimate
baesystems.com,80,6,0,6,from,legitimate
wasptech.com,80,2,0,2,from,legitimate
redpie.com,80,5,0,5,from,legitimate
pinkpaperclips.net,80,2,0,2,urls,legitimate
levenez.com,80,1,0,1,urls,legitimate
corvil.com,80,4,0,4,from,legitimate
sun.com,80,8,0,8,"from, urls",legitimate
silcom.com,80,18,0,18,from,legitimate
securityfocus.com,80,16,0,16,,legitimate
deersoft.com,80,16,0,16,from,legitimate
lanminds.com,80,2,0,2,from,legitimate
banirh.com,80,2,0,2,from,legitimate
netwinsite.com,80,1,0,1,urls,legitimate
noskillz.com,80,9,0,9,from,legitimate
slack.net,80,74,0,74,from,legitimate
evergo.net,80,51,0,51,from,legitimate
infinetivity.com,80,1,0,1,"from, urls",legitimate
ibm.com,80,4,0,4,"from, urls",legitimate
io.com,80,5,0,5,"from, urls",legitimate
snopes.com,80,3,0,3,urls,legitimate
panix.com,80,18,0,18,from,legitimate
pathname.com,80,21,0,21,from,legitimate
egwn.net,80,38,0,38,from,legitimate
freshrpms.net,80,248,0,248,urls,legitimate
teledyn.com,80,46,0,46,urls,legitimate
scientist.com,80,21,0,21,from,legitimate
ordersomewherechaos.com,80,5,0,5,from,legitimate
zanshin.com,80,7,0,7,from,legitimate
eware.com,80,1,0,1,,legitimate
deisedesign.com,80,1,0,1,from,legitimate
vipul.net,80,5,0,5,"from, urls",legitimate
disobey.com,80,5,0,5,"from, urls",legitimate
pobox.com,80,52,0,52,"from, urls",legitimate
dbsinfo.com,80,1,0,1,"from, urls",legitimate
sf.net,80,8,0,8,urls,legitimate
colocation-network.com,80,1,0,1,urls,legitimate
spesh.com,80,2,0,2,from,legitimate
cndb.com,80,1,0,1,urls,legitimate
dovebid.com,80,2,0,2,urls,legitimate
wasabisystems.com,80,9,0,9,urls,legitimate
threepillows.com,80,1,0,1,urls,legitimate
b3ta.com,80,1,0,1,urls,legitimate
gagpipe.com,80,2,0,2,urls,legitimate
mail-archive.com,80,1,0,1,urls,legitimate
ntk.net,80,4,0,4,urls,legitimate
ananova.com,80,4,0,4,urls,legitimate
capalert.com,80,2,0,2,urls,legitimate
cnn.com,80,9,0,9,urls,legitimate
screenit.com,80,2,0,2,urls,legitimate
ryanairmail.com,80,2,0,2,from,legitimate
